Date,Description,Amount,Category
2025-01-02,STARBUCKS COFFEE #4521,-5.75,Dining
2025-01-03,WHOLE FOODS MARKET,-89.42,Groceries
2025-01-05,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-01-06,UBER TRIP HOME,-24.50,Transport
2025-01-07,AMAZON PRIME MEMBERSHIP,-14.99,Subscriptions
2025-01-08,TRADER JOES,-62.30,Groceries
2025-01-09,CHEVRON GAS,-48.00,Transport
2025-01-10,CHIPOTLE LUNCH,-12.85,Dining
2025-01-12,SPOTIFY PREMIUM,-9.99,Entertainment
2025-01-14,CVS PHARMACY,-32.45,Healthcare
2025-01-15,COMCAST INTERNET,-79.99,Utilities
2025-01-15,DIRECT DEPOSIT - ACME CORP,4500.00,Income
2025-01-16,DOORDASH DINNER,-38.50,Dining
2025-01-17,AMAZON.COM PURCHASE,-27.99,Shopping
2025-01-18,SHELL GAS STATION,-52.00,Transport
2025-01-20,STARBUCKS COFFEE #4521,-6.25,Dining
2025-01-21,WALGREENS,-18.75,Healthcare
2025-01-22,APPLE.COM/BILL,-9.99,Subscriptions
2025-01-23,TRADER JOES,-45.00,Groceries
2025-01-25,UBER TRIP WORK,-18.50,Transport
2025-01-26,NYT DIGITAL SUBSCRIPTION,-17.00,Subscriptions
2025-01-28,STARBUCKS COFFEE #4521,-5.75,Dining
2025-01-29,COSTCO WHOLESALE,-135.00,Groceries
2025-01-30,ELECTRIC BILL PGE,-95.00,Utilities
2025-02-01,RENT PAYMENT,-2200.00,Housing
2025-02-02,STARBUCKS COFFEE,-5.75,Dining
2025-02-03,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-02-04,TRADER JOES,-55.00,Groceries
2025-02-05,UBER TRIP,-22.00,Transport
2025-02-05,DIRECT DEPOSIT - ACME CORP,4500.00,Income
2025-02-07,AMAZON.COM,-42.50,Shopping
2025-02-08,DUNKIN DONUTS,-4.50,Dining
2025-02-10,CHEVRON GAS,-45.00,Transport
2025-02-12,SPOTIFY PREMIUM,-9.99,Entertainment
2025-02-14,DOORDASH VALENTINES,-65.00,Dining
2025-02-15,COMCAST INTERNET,-79.99,Utilities
2025-02-16,TRADER JOES,-38.00,Groceries
2025-02-17,APPLE.COM/BILL,-9.99,Subscriptions
2025-02-18,NYT DIGITAL SUBSCRIPTION,-17.00,Subscriptions
2025-02-20,CVS PHARMACY,-25.00,Healthcare
2025-02-22,STARBUCKS COFFEE,-5.75,Dining
2025-02-24,AMAZON PRIME MEMBERSHIP,-14.99,Subscriptions
2025-02-25,SHELL GAS,-48.00,Transport
2025-02-27,WALGREENS,-22.00,Healthcare
2025-02-28,ELECTRIC BILL PGE,-88.00,Utilities
2025-03-01,RENT PAYMENT,-2200.00,Housing
2025-03-02,TRADER JOES,-52.00,Groceries
2025-03-03,DIRECT DEPOSIT - ACME CORP,4500.00,Income
2025-03-04,STARBUCKS COFFEE,-5.75,Dining
2025-03-05,NETFLIX SUBSCRIPTION,-15.99,Entertainment
